51300046546,gef,257,258
51300053639,bad,34,56
51300054959,aad,68,54
51300083270,dcf,186,48
51300103779,agg,262,247
51300138702,gdc,127,163
51300146153,beb,233,66
51300174636,fcf,54,124
51300221576,ccb,118,273
51300261861,fge,213,179
51300350774,ggd,125,195
51300370893,dcb,77,138
51300373183,dag,252,179
51300390394,bcf,242,296
51300427347,bef,67,294
51300435499,bgd,194,180
51300545584,agd,283,140
51300549011,cgd,241,10
51300585773,gba,159,6
51300618522,agd,173,112
51300625724,baa,77,260
51300638090,dbf,264,179
51300642624,egc,83,226
51300815709,dbf,10,164
51300818382,eag,76,233
51300841536,eac,22,150
51300875798,fbg,185,117
51300905499,dag,176,143
51300927507,cbb,233,297
51300945449,bfb,290,207
51300971704,bcg,230,54
51301001414,aba,77,280
51301011981,aab,241,187
51301012870,efa,292,134
51301031390,ggg,115,250
51301148373,dbb,221,266
51301161322,egc,78,212
51301167250,eeg,25,165
51301201362,aeg,286,62
51301203483,aed,109,278
51301229912,gad,236,15
51301249980,ecf,102,275
51301341773,aec,105,28
51301356489,dcf,235,50
51301357989,acd,33,72
51301441158,eag,80,258
51301467805,ccd,72,58
51301470507,bbc,231,240
51301568965,cfc,106,290
51301581759,agg,298,276
51301624329,gfe,213,198
51301633923,eee,257,253
51301661893,baf,28,264
51301733721,aag,127,288
51301733893,fgd,68,12
51301734972,ace,185,142
51301768805,ffd,5,168
51301783665,abg,161,53
51301791618,fgf,80,32
51301807208,efg,270,216
51301814654,fae,8,249
51301815222,fgd,163,11
51301837937,aec,30,22
51301853858,adf,53,17
51301866040,dgg,268,130
51301881519,dfd,154,86
51301888315,cbb,245,291
51301956168,cea,238,179
51302010827,dgf,9,12
51302042863,cfb,290,229
51302090569,bgd,159,163
51302101686,cba,13,152
51302108765,ecg,75,56
51302110835,fcc,84,207
51302112536,bfa,5,221
51302174215,adc,253,229
51302187409,dbc,192,19
51302188127,dac,61,33
51302209390,edf,289,99
51302241704,fdd,22,141
51302271356,ada,244,23
51302275019,cda,32,71
51302278916,fea,206,59
51302338294,aaf,295,160
51302450704,gae,292,276
51302496674,gda,294,207
51302508988,acg,253,241
51302513085,fbf,269,101
51302517896,fcg,23,224
51302540259,baa,31,306
51302543480,aef,36,53
51302545040,afd,198,203
51302590260,gda,260,233
51302606183,cgf,209,136
51302612683,ded,104,205
51302616658,dab,148,153
51302616907,fab,221,234
51302660904,ebe,48,282
51302710001,ega,116,127
51302747444,egf,247,77
51302748292,fef,248,77
51302750191,bae,116,298
51302752829,bbg,110,129
51302771851,gfd,172,115
51302806193,daf,113,108
51302809284,aec,92,21
51302885394,baf,151,300
51302986623,gdg,34,45
51303025972,cee,256,160
51303061970,dge,172,67
51303069574,dge,199,76
51303100018,cff,126,30
51303100540,egc,94,233
51303122383,afc,87,66
51303128060,fdb,35,233
51303135666,afb,269,89
51303138906,bac,47,171
51303155158,dga,277,73
51303182320,egc,177,258
51303193224,bcf,280,254
51303208305,gbe,287,271
51303214822,fba,36,234
51303223663,dcd,194,107
51303248630,bae,188,312
51303264789,ecd,195,35
51303307901,fea,93,60
51303312910,gee,109,34
51303319444,dce,261,14
51303327651,eba,83,191
51303337925,aed,254,300
51303338242,dfa,223,249
51303355900,eff,213,226
51303393703,fce,97,74
51303454829,gbf,47,245
51303483446,gca,296,19
51303483517,bgd,1,143
51303504315,gge,49,52
51303589231,aac,141,146
51303612200,cba,78,138
51303613454,fea,143,54
51303641654,ceg,154,29
51303647141,cda,75,68
51303684115,fbg,260,133
51303716056,gda,100,216
51303738547,efd,73,183
51303741086,efa,277,151
51303754027,eaa,121,26
51303759520,ggb,183,70
51303839448,efe,53,35
51303842596,cdg,128,267
51303847539,bda,72,118
51303847545,cgg,52,76
51303930594,acf,129,102
51303982857,cec,286,46
51304004313,dfb,14,159
51304005031,ega,258,120
51304014968,bcd,74,115
51304051022,cef,9,89
51304073081,bga,55,19
51304081646,fbe,95,215
51304089669,bba,65,63
51304089823,bea,168,69
51304106484,acg,148,250
51304136853,acc,100,215
51304157412,gae,133,223
51304159026,gae,284,238
51304187099,agd,190,120
51304188629,gbf,176,237
51304194211,gec,294,179
51304247588,deb,70,167
51304325387,ggb,289,63
51304335856,agb,79,62
51304345217,add,239,298
51304345586,edc,128,92
51304347150,dbg,10,106
51304349426,gfa,165,244
51304369843,gbd,63,20
51304371350,fgb,41,299
51304385389,fef,240,75
51304388242,gcb,201,235
51304399298,gbd,22,17
51304400344,gga,134,201
51304467922,dff,9,84
51304497315,bad,51,62
51304507077,gef,212,255
51304510080,cce,173,129
51304586680,fgf,69,30
51304587859,fbe,134,242
51304598516,dae,205,15
51304611896,bdg,23,131
51304626185,efa,228,155
51304628913,gcd,206,246
51304705021,eef,111,17
51304731184,eed,152,223
51304739232,abf,165,206
51304741933,aab,110,155
51304775945,gga,108,186
51304811976,ddg,21,148
51304832381,deg,229,266
51304834561,fgf,220,34
51304855075,ced,55,120
51304861186,ffc,33,138
51304863832,cee,66,161
51304873453,afa,70,211
51304875049,bgc,269,267
51304882972,gcd,60,250
51304921366,bba,143,69
51304936704,aga,21,97
51304944868,ddd,75,182
51304947593,gbg,182,28
51304949905,fbe,18,217
51304952188,cac,44,111
51304995009,ccf,275,130
51305035739,bgd,16,122
